Técnica,Descrição,Complexidade,Precisão,Eficiência,Uso de Tokens,Principais Aplicações,Vantagens,Desvantagens,Melhor Para
Zero-Shot Prompting,"O modelo executa tarefas sem exemplos prévios, baseando-se apenas em instruções diretas",Baixa,Média,Alta,Muito Baixo,"Classificação de texto, Análise de sentimento, Tradução básica",Baixa latência • Economia de tokens • Custo reduzido • Fácil implementação • Sem necessidade de exemplos • Implementação imediata,Precisão limitada • Pode ser impreciso para tarefas complexas,"Quando não há exemplos disponíveis, Tarefas simples"
Few-Shot Prompting,Fornece alguns exemplos para guiar o modelo na tarefa desejada,Baixa,Alta,Média,Médio,"Formatação específica, Tarefas especializadas, Geração de código",Fácil implementação • Consistência de formato • Adaptável a domínios,Requer exemplos de qualidade,"Quando precisamos de consistência, Domínios especializados"
Chain-of-Thought (CoT),O modelo mostra seu raciocínio passo a passo para chegar à resposta final,Média,Muito Alta,Baixa,Alto,"Problemas matemáticos, Raciocínio lógico, Análise complexa",Precisão máxima • Fácil implementação • Transparência completa • Raciocínio verificável,Alta latência • Alto consumo de tokens • Custo elevado • Muito verboso • Lento,"Problemas multi-etapas, Quando transparência é importante"
Chain-of-Drafts (CoD),"Raciocínio minimalista, focando apenas nos passos essenciais, cada etapa com até 5 palavras",Média,Alta,Muito Alta,Muito Baixo,"Raciocínio matemático, Lógica, Aplicações em tempo real",Baixa latência • Economia de tokens • Custo reduzido • Fácil implementação • Eficiência máxima • Mantém transparência • Ideal para produção,Menos detalhamento,"Quando eficiência é crucial, Recursos limitados"
Tree-of-Thoughts (ToT),"Explora múltiplos caminhos de raciocínio simultaneamente, como uma árvore de decisões",Alta,Muito Alta,Baixa,Muito Alto,"Problemas complexos, Planejamento estratégico, Escrita criativa",Precisão máxima • Exploração de múltiplas soluções • Criatividade elevada,Alta latência • Alto consumo de tokens • Custo elevado • Implementação complexa • Extremamente lento • Recursos intensivos,"Múltiplas abordagens válidas, Problemas criativos"
Role-Based Prompting,Atribui um papel específico ao modelo para guiar suas respostas,Baixa,Alta,Alta,Baixo,"Consultoria especializada, Ensino, Atendimento ao cliente",Baixa latência • Economia de tokens • Custo reduzido • Fácil implementação • Contexto especializado • Tom adequado,Limitado ao papel definido,"Expertise específica necessária, Tom particular de resposta"
Meta-Prompting,Usa o próprio modelo para gerar e otimizar prompts,Alta,Muito Alta,Média,Alto,"Otimização de prompts, Automação de testes, Melhoria iterativa",Precisão máxima • Auto-otimização • Melhoria contínua,Alto consumo de tokens • Custo elevado • Implementação complexa • Requer múltiplas iterações,"Quando precisamos otimizar prompts, Desenvolvimento iterativo"
Self-Refine Prompting,Melhoria iterativa das respostas através de auto-avaliação e refinamento,Alta,Muito Alta,Baixa,Alto,"Escrita criativa, Análise crítica, Melhoria de qualidade",Precisão máxima • Qualidade refinada • Auto-correção,Alta latência • Alto consumo de tokens • Custo elevado • Implementação complexa • Processo iterativo longo,"Quando qualidade é prioritária, Processos iterativos"
Generated Knowledge Prompting,Incorpora conhecimento contextual gerado pelo próprio modelo,Alta,Muito Alta,Média,Alto,"QA com contexto, Síntese de informações, Análise baseada em conhecimento",Precisão máxima • Contexto enriquecido • Conhecimento integrado,Alto consumo de tokens • Custo elevado • Implementação complexa • Pode gerar conhecimento incorreto,"Quando contexto adicional é necessário, Tarefas de conhecimento intensivo"
Retrieval-Augmented Generation (RAG),Combina recuperação de informações com geração de texto,Muito Alta,Muito Alta,Média,Alto,"Sistemas de QA, Documentação, Suporte técnico",Precisão máxima • Informações atualizadas • Base de conhecimento,Alto consumo de tokens • Custo elevado • Implementação complexa • Dependente da base de dados,"Informações atualizadas necessárias, Base de conhecimento específica"
Prompt Chaining,Workflows complexos em múltiplas etapas encadeadas,Alta,Alta,Média,Alto,"Workflows complexos, Processamento de documentos, Análise multi-etapas",Workflows complexos • Modularidade,Alto consumo de tokens • Custo elevado • Implementação complexa • Coordenação complexa,"Tarefas complexas divididas, Pipelines de processamento"
ReAct (Reasoning + Acting),Alterna entre raciocínio e execução de ações externas,Muito Alta,Alta,Média,Alto,"Agentes autônomos, Integração com APIs, Busca em tempo real",Integração externa • Ações dinâmicas,Alto consumo de tokens • Custo elevado • Implementação complexa • Dependente de sistemas externos,"Acesso a dados externos necessário, Ações em sistemas externos"
